procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,school_id_raw,school_id_clean,school_id_changed_flag,date_raw,date_clean,date_parse_method,date_ambiguous_flag,date_parse_error_flag,grain_raw,grain_clean,vendor_raw,vendor_clean,quantity_raw,unit_raw,quantity_kg,unit_clean,conversion_method,unit_inferred_flag,cost_raw,total_cost_numeric,cost_per_kg,payment_status_raw,payment_status_clean
MDM008522,2026-01-14,SCH0249,Singh Agro Group,Wheat,,,336.0,Pending,SCH0249,SCH0249,False,2026/01/14,2026-01-14,ISO_FORMAT,False,False,WHEAT,Wheat,Singh Brothers,Singh Agro Group,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,336/-,336.0,,PENDING,Pending
MDM010158,2025-08-10,SCH0140,Kumar Enterprises,Wheat,40.7,KGS,1221.0,Paid,SCH0140,SCH0140,False,2025-08-10,2025-08-10,ISO_FORMAT,False,False,gehun,Wheat,kumar general store,Kumar Enterprises,40.7,KGS,40.7,KG,DIRECT,False,1221,1221.0,29.999999999999996,Cleared,Paid
MDM007882,2025-03-11,SCH0514,Kumar Enterprises,Oil,54.2,KGS,6504.0,Paid,SCH-0514,SCH0514,True,03/11/2025,2025-03-11,DASH_MM_DD_AMBIGUOUS,True,False,Oil,Oil,kumar general store,Kumar Enterprises,54.2,KGS,54.2,KG,DIRECT,False,6504,6504.0,120.0,Paid,Paid
MDM004875,2026-03-19,SCH0445,Sharma Traders,Rice,0.8,50kg Bags,1600.0,Pending,SCH-0445,SCH0445,True,2026/03/19,2026-03-19,ISO_FORMAT,False,False,RICE,Rice,sharma traders pvt ltd,Sharma Traders,0.8,50kg Bags,40.0,KG,BAGS_50KG_TO_KG,False,"Rs. 1,600",1600.0,40.0,Due,Pending
MDM011422,2025-08-16,SCH0172,Kumar Enterprises,Rice,,,2104.0,Paid,sch_0172,SCH0172,True,16.08.2025,2025-08-16,DOT_DD_MM_YYYY,False,False,chawal,Rice,Kumar Supplies,Kumar Enterprises,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,"Rs. 2,104",2104.0,,Paid,Paid
MDM007746,2025-04-10,SCH0357,Kumar Enterprises,Rice,14.9 kg,,596.0,Paid,sch0357,SCH0357,True,10-Apr-2025,2025-04-10,TEXT_MONTH,False,False,chawal,Rice,Kumar Supplies,Kumar Enterprises,14.9 kg,,14.9,KG,DIRECT,False,596,596.0,40.0,Paid,Paid
MDM003693,2025-08-05,SCH0267,Sharma Traders,Pulses,,,2826.0,Unknown,S0267,SCH0267,True,2025/08/05,2025-08-05,ISO_FORMAT,False,False,dal,Pulses,sharma traders pvt ltd,Sharma Traders,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,2826,2826.0,,,Unknown
MDM001497,2025-09-12,SCH0210,Singh Agro Group,Rice,16100,Grams,644.0,Pending,sch0210,SCH0210,True,09/12/2025,2025-09-12,DASH_MM_DD_AMBIGUOUS,True,False,RICE,Rice,Singh Agro,Singh Agro Group,16100,Grams,16.1,KG,GRAMS_TO_KG,False,₹644,644.0,40.0,Due,Pending
MDM001214,2025-06-25,SCH0301,Singh Agro Group,Pulses,14.2 kg,,1278.0,Pending,SCH0301,SCH0301,False,06-25-2025,2025-06-25,DASH_MM_DD_YYYY,False,False,Daal,Pulses,Singh Agro,Singh Agro Group,14.2 kg,,14.2,KG,DIRECT,False,1278,1278.0,90.0,PENDING,Pending
MDM005465,2025-06-14,SCH0233,Singh Agro Group,Wheat,57,KGS,1710.0,Unknown,SCH-0233,SCH0233,True,14.06.2025,2025-06-14,DOT_DD_MM_YYYY,False,False,Wheat,Wheat,Singh Agro,Singh Agro Group,57,KGS,57.0,KG,DIRECT,False,"1,710/-",1710.0,30.0,,Unknown
MDM011101,2025-10-10,SCH0283,Sharma Traders,Wheat,28.5,KGS,855.0,Pending,sch0283,SCH0283,True,2025-10-10,2025-10-10,ISO_FORMAT,False,False,Atta,Wheat,Sharma & Sons,Sharma Traders,28.5,KGS,28.5,KG,DIRECT,False,855/-,855.0,30.0,PENDING,Pending
MDM011169,2026-02-11,SCH0113,Singh Agro Group,Rice,33.0 kg,,1320.0,Pending,0113,SCH0113,True,02-11-2026,2026-02-11,DASH_MM_DD_AMBIGUOUS,True,False,Chawal,Rice,S. Agro Works,Singh Agro Group,33.0 kg,,33.0,KG,DIRECT,False,1320,1320.0,40.0,Due,Pending
MDM004084,2025-06-04,SCH0037,Singh Agro Group,Wheat,39.6,KG,1188.0,Paid,SCH0037,SCH0037,False,04.06.2025,2025-06-04,DOT_DD_MM_AMBIGUOUS,True,False,WHEAT,Wheat,Singh Brothers,Singh Agro Group,39.6,KG,39.6,KG,DIRECT,False,1188,1188.0,30.0,Cleared,Paid
MDM008099,2025-08-27,SCH0340,Sharma Traders,Wheat,21.5,Kgs,645.0,Paid,S0340,SCH0340,True,27.08.2025,2025-08-27,DOT_DD_MM_YYYY,False,False,WHEAT,Wheat,sharma traders pvt ltd,Sharma Traders,21.5,Kgs,21.5,KG,DIRECT,False,Rs. 645,645.0,30.0,Cleared,Paid
MDM009206,2025-08-27,SCH0366,Goyal Mills,Pulses,0.5539999999999999,Bori,2493.0,Paid,S0366,SCH0366,True,08-27-2025,2025-08-27,DASH_MM_DD_YYYY,False,False,Pulses,Pulses,Goyal Rice Mill,Goyal Mills,0.5539999999999999,Bori,27.699999999999996,KG,BAGS_50KG_TO_KG,False,"Rs. 2,493",2493.0,90.00000000000001,Paid,Paid
MDM002217,2025-10-01,SCH0462,Singh Agro Group,Rice,,,1800.0,Paid,SCH0462,SCH0462,False,01-Oct-2025,2025-10-01,TEXT_MONTH,False,False,chawal,Rice,Singh Agro,Singh Agro Group,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,"Rs. 1,800",1800.0,,Cleared,Paid
MDM001670,2026-03-23,SCH0228,Goyal Mills,Oil,37,KGS,4440.0,Paid,S0228,SCH0228,True,23.03.2026,2026-03-23,DOT_DD_MM_YYYY,False,False,Mustard Oil,Oil,goyal mill,Goyal Mills,37,KGS,37.0,KG,DIRECT,False,"4,440/-",4440.0,120.0,paid,Paid
MDM000813,2025-11-25,SCH0492,Sharma Traders,Wheat,0.8959999999999999,Sacks,1344.0,Paid,SCH0492,SCH0492,False,25.11.2025,2025-11-25,DOT_DD_MM_YYYY,False,False,gehun,Wheat,Sharma Traders,Sharma Traders,0.8959999999999999,Sacks,44.8,KG,BAGS_50KG_TO_KG,False,"Rs. 1,344",1344.0,30.000000000000004,Paid,Paid
MDM011888,2026-02-06,SCH0321,Sharma Traders,Oil,41900,g,,Pending,SCH0321,SCH0321,False,06.02.2026,2026-02-06,DOT_DD_MM_AMBIGUOUS,True,False,Cooking Oil,Oil,Sharma & Sons,Sharma Traders,41900,g,41.9,KG,GRAMS_TO_KG,False,,,,Due,Pending
MDM008145,2025-03-10,SCH0462,Goyal Mills,Oil,16.3,kg,,Pending,S0462,SCH0462,True,03/10/2025,2025-03-10,DASH_MM_DD_AMBIGUOUS,True,False,Sarson Tel,Oil,Goyal Rice Mill,Goyal Mills,16.3,kg,16.3,KG,DIRECT,False,,,,Pending,Pending
MDM002981,2025-12-16,SCH0183,Singh Agro Group,Pulses,,,3159.0,Pending,SCH0183,SCH0183,False,16.12.2025,2025-12-16,DOT_DD_MM_YYYY,False,False,Dal,Pulses,Singh Brothers,Singh Agro Group,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,"Rs. 3,159",3159.0,,Pending,Pending
