school_id,school_name,district,block,total_enrolled_students,school_type,medium,school_id_raw,school_id_clean,school_id_changed_flag,district_raw,district_clean,block_raw,block_clean
SCH0001,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi,SCH0001,SCH0001,False,Amritsar,Amritsar,Amritsar-I,Amritsar-I
SCH0002,Govt. Primary School Dewan,Unknown District,Tarn Taran,56,Upper Primary,Hindi,SCH0002,SCH0002,False,,Unknown District,Tarn Taran,Tarn Taran
SCH0003,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English,SCH0003,SCH0003,False,Ferozepur,Ferozepur,Zira,Zira
SCH0004,Govt. Elementary School Kaur,Bathinda,Unknown Block,150,Secondary,English,SCH0004,SCH0004,False,Bathinda,Bathinda,,Unknown Block
SCH0005,Govt. Elementary School Bajwa,Bathinda,Unknown Block,413,Primary,English,SCH0005,SCH0005,False,Bathinda,Bathinda,,Unknown Block
SCH0006,Govt. Primary School Bahri,Moga,Moga-Ii,400,Upper Primary,Punjabi,SCH0006,SCH0006,False,moga,Moga,Moga-II,Moga-Ii
SCH0007,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English,SCH0007,SCH0007,False,Ferozepur,Ferozepur,Makhu,Makhu
SCH0008,Govt. Middle School Sibal,Amritsar,Amritsar-Ii,313,Upper Primary,Hindi,SCH0008,SCH0008,False,Amritsar,Amritsar,Amritsar-II,Amritsar-Ii
SCH0009,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi,SCH0009,SCH0009,False,Patiala,Patiala,Samana,Samana
SCH0010,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi,SCH0010,SCH0010,False,Patiala,Patiala,Samana,Samana
SCH0011,Govt. Senior Secondary School Munshi,Patiala,Samana,422,Higher Secondary,Punjabi,SCH0011,SCH0011,False,Patiala,Patiala,Samana,Samana
SCH0012,Govt. Elementary School Mand,Ludhiana,Ludhiana-I,118,Higher Secondary,Punjabi,SCH0012,SCH0012,False,Ludhiana,Ludhiana,Ludhiana-I,Ludhiana-I
SCH0013,Govt. Middle School Contractor,Bathinda,Bathinda,388,Secondary,Punjabi,SCH0013,SCH0013,False,Bathinda,Bathinda,Bathinda,Bathinda
SCH0014,Govt. Senior Secondary School Soman,Jalandhar,Phillaur,41,Secondary,Punjabi,SCH0014,SCH0014,False,Jalandhar,Jalandhar,Phillaur,Phillaur
SCH0015,Govt. Primary School Brahmbhatt,Bathinda,Maur,118,Upper Primary,Punjabi,SCH0015,SCH0015,False,Bathinda,Bathinda,Maur,Maur
SCH0016,Govt. Senior Secondary School Varughese,Ludhiana,Ludhiana-I,225,Secondary,Punjabi,SCH0016,SCH0016,False,Ludhiana,Ludhiana,Ludhiana-I,Ludhiana-I
SCH0017,Govt. Elementary School Pandit,Amritsar,Tarn Taran,75,Upper Primary,Hindi,SCH0017,SCH0017,False,Amritsar,Amritsar,Tarn Taran,Tarn Taran
SCH0018,Govt. Elementary School Palla,Bathinda,Talwandi Sabo,148,Upper Primary,English,SCH0018,SCH0018,False,Bathinda,Bathinda,Talwandi Sabo,Talwandi Sabo
SCH0019,Govt. Senior Secondary School Venkatesh,Sangrur,Dhuri,101,Primary,Punjabi,SCH0019,SCH0019,False,Sangrur,Sangrur,Dhuri,Dhuri
SCH0020,Govt. Primary School Soman,Amritsar,Amritsar-I,157,Primary,English,SCH0020,SCH0020,False,amritsar,Amritsar,Amritsar-I,Amritsar-I
SCH0021,Govt. Elementary School Sami,Sangrur,Sunam,316,Higher Secondary,Hindi,SCH0021,SCH0021,False,Sangrur,Sangrur,Sunam,Sunam
SCH0022,Govt. Primary School Aggarwal,Amritsar,Amritsar-I,377,Higher Secondary,Punjabi,SCH0022,SCH0022,False,Amritsar,Amritsar,Amritsar-I,Amritsar-I
SCH0023,Govt. Senior Secondary School Bumb,Ludhiana,Machhiwara,412,Primary,Hindi,SCH0023,SCH0023,False,Ludhiana,Ludhiana,Machhiwara,Machhiwara
SCH0024,Govt. Primary School Bhandari,Ferozepur,Unknown Block,182,Primary,Hindi,SCH0024,SCH0024,False,Ferozepur,Ferozepur,,Unknown Block
SCH0025,Govt. Elementary School Tella,Ludhiana,Ludhiana-I,425,Upper Primary,Punjabi,SCH0025,SCH0025,False,Ludhiana,Ludhiana,Ludhiana-I,Ludhiana-I
SCH0026,Govt. Elementary School Narayan,Unknown District,Ludhiana-Ii,234,Higher Secondary,Hindi,SCH0026,SCH0026,False,,Unknown District,Ludhiana-II,Ludhiana-Ii
SCH0027,Govt. Primary School Lal,Sangrur,Sunam,137,Primary,Punjabi,SCH0027,SCH0027,False,Sangrur,Sangrur,Sunam,Sunam
SCH0028,Govt. Primary School Sengupta,Ludhiana,Machhiwara,297,Upper Primary,Punjabi,SCH0028,SCH0028,False,Ludhiana,Ludhiana,Machhiwara,Machhiwara
SCH0029,Govt. Primary School Lad,Amritsar,Amritsar-Ii,246,Upper Primary,Punjabi,SCH0029,SCH0029,False,Amritsar,Amritsar,Amritsar-II,Amritsar-Ii
SCH0030,Govt. Elementary School Kar,Moga,Bagha Purana,144,Secondary,English,SCH0030,SCH0030,False,Moga,Moga,Bagha Purana,Bagha Purana
SCH0031,Govt. Primary School Mohanty,Sangrur,Unknown Block,424,Primary,Hindi,SCH0031,SCH0031,False,Sangrur,Sangrur,,Unknown Block
SCH0032,Govt. Senior Secondary School Narang,Bathinda,Maur,218,Upper Primary,Hindi,SCH0032,SCH0032,False,Bathinda,Bathinda,Maur,Maur
SCH0033,Govt. Primary School Shroff,Bathinda,Bathinda,381,Secondary,Hindi,SCH0033,SCH0033,False,Bathinda,Bathinda,Bathinda,Bathinda
