record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by,school_id_raw,school_id_clean,school_id_changed_flag,date_raw,date_clean,date_parse_method,date_ambiguous_flag,date_parse_error_flag,grade_raw,grade_clean,teacher_present_raw,teacher_present_clean,teacher_present_is_unknown_flag,is_impossible_attendance,attendance_rate,is_weekend,is_sunday,is_proxy_attendance,data_quality_status
ATT0014650,2025-07-26,SCH0596,Grade 5,85,60,True,Admin,SCH-0596,SCH0596,True,07-26-2025,2025-07-26,DASH_MM_DD_YYYY,False,False,5,Grade 5,TRUE,True,False,False,70.58823529411765,True,False,False,VALID
ATT0009232,2025-11-03,SCH0054,Grade 1,197,119,True,Admin,sch_0054,SCH0054,True,03.11.2025,2025-11-03,DOT_DD_MM_AMBIGUOUS,True,False,I,Grade 1,TRUE,True,False,False,60.40609137055838,False,False,False,VALID
ATT0006474,2025-05-16,SCH0433,Grade 5,58,52,True,Class Teacher,SCH-0433,SCH0433,True,05-16-2025,2025-05-16,DASH_MM_DD_YYYY,False,False,5,Grade 5,Available,True,False,False,89.65517241379311,False,False,False,VALID
ATT0018737,2025-04-21,SCH0379,Grade 6,94,71,True,,SCH-0379,SCH0379,True,21-04-2025,2025-04-21,DASH_DD_MM_YYYY,False,False,6,Grade 6,haan,True,False,False,75.53191489361703,False,False,False,VALID
ATT0012348,2025-08-30,SCH0208,Grade 1,234,194,True,Admin,SCH0208,SCH0208,False,30-08-2025,2025-08-30,DASH_DD_MM_YYYY,False,False,I,Grade 1,TRUE,True,False,False,82.90598290598291,True,False,False,VALID
ATT0017158,2025-05-19,SCH0505,Grade 2,85,58,False,,sch0505,SCH0505,True,19-05-2025,2025-05-19,DASH_DD_MM_YYYY,False,False,II,Grade 2,FALSE,False,False,False,68.23529411764706,False,False,False,VALID
ATT0014975,2025-04-15,SCH0128,Grade 2,236,189,True,,SCH0128,SCH0128,False,04-15-2025,2025-04-15,DASH_MM_DD_YYYY,False,False,II,Grade 2,Yes,True,False,False,80.08474576271186,False,False,False,VALID
ATT0011151,2025-06-24,SCH0393,Grade 6,261,197,True,Admin,SCH0393,SCH0393,False,24-06-2025,2025-06-24,DASH_DD_MM_YYYY,False,False,6,Grade 6,H,True,False,False,75.47892720306514,False,False,False,VALID
ATT0002175,2025-05-17,SCH0398,Grade 3,260,271,True,,SCH0398,SCH0398,False,17.05.2025,2025-05-17,DOT_DD_MM_YYYY,False,False,III,Grade 3,TRUE,True,False,True,,True,False,False,INVALID_IMPOSSIBLE_ATTENDANCE
ATT0001505,2025-04-05,SCH0377,Grade 8,151,125,True,Clerk,SCH-0377,SCH0377,True,04-05-2025,2025-04-05,DASH_MM_DD_AMBIGUOUS,True,False,8,Grade 8,TRUE,True,False,False,82.78145695364239,True,False,False,VALID
ATT0008971,2025-07-09,SCH0268,Grade 7,96,61,True,,SCH0268,SCH0268,False,09.07.2025,2025-07-09,DOT_DD_MM_AMBIGUOUS,True,False,7,Grade 7,TRUE,True,False,False,63.541666666666664,False,False,False,VALID
ATT0000448,2025-07-30,SCH0286,Grade 1,272,261,True,Clerk,286,SCH0286,True,30-07-2025,2025-07-30,DASH_DD_MM_YYYY,False,False,1,Grade 1,TRUE,True,False,False,95.95588235294117,False,False,False,VALID
ATT0007459,2025-05-26,SCH0403,Grade 8,181,188,True,HM,SCH-0403,SCH0403,True,26-05-2025,2025-05-26,DASH_DD_MM_YYYY,False,False,8,Grade 8,Y,True,False,True,,False,False,False,INVALID_IMPOSSIBLE_ATTENDANCE
ATT0019075,2025-10-30,SCH0212,Grade 2,259,241,True,,S0212,SCH0212,True,30-10-2025,2025-10-30,DASH_DD_MM_YYYY,False,False,2,Grade 2,Yes,True,False,False,93.05019305019306,False,False,False,VALID
ATT0005117,2025-09-20,SCH0434,Grade 8,287,190,True,,SCH0434,SCH0434,False,20-09-2025,2025-09-20,DASH_DD_MM_YYYY,False,False,8,Grade 8,Haan,True,False,False,66.2020905923345,True,False,False,VALID
ATT0013119,2026-02-18,SCH0555,Grade 5,145,122,True,Admin,SCH0555,SCH0555,False,02-18-2026,2026-02-18,DASH_MM_DD_YYYY,False,False,V,Grade 5,Haan,True,False,False,84.13793103448276,False,False,False,VALID
ATT0013105,2026-01-24,SCH0074,Grade 9,163,146,True,Headmaster,sch_0074,SCH0074,True,24-01-2026,2026-01-24,DASH_DD_MM_YYYY,False,False,9,Grade 9,TRUE,True,False,False,89.57055214723927,True,False,False,VALID
ATT0006545,2025-08-08,SCH0335,Grade 2,110,100,True,,SCH0335,SCH0335,False,08-08-2025,2025-08-08,DASH_MM_DD_AMBIGUOUS,True,False,II,Grade 2,Y,True,False,False,90.9090909090909,False,False,False,VALID
ATT0010646,2026-10-01,SCH0329,Grade 1,79,74,True,Clerk,sch_0329,SCH0329,True,10-01-2026,2026-10-01,DASH_MM_DD_AMBIGUOUS,True,False,I,Grade 1,Haan,True,False,False,93.67088607594937,False,False,False,VALID
ATT0008701,2025-10-10,SCH0369,Grade 5,288,231,True,,SCH0369,SCH0369,False,10.10.2025,2025-10-10,DOT_DD_MM_AMBIGUOUS,True,False,V,Grade 5,1,True,False,False,80.20833333333334,False,False,False,VALID
ATT0005000,2025-04-12,SCH0180,Grade 1,224,177,True,Admin,S0180,SCH0180,True,04-12-2025,2025-04-12,DASH_MM_DD_AMBIGUOUS,True,False,1,Grade 1,Functional,True,False,False,79.01785714285714,True,False,False,VALID
ATT0001394,2025-09-07,SCH0328,Grade 1,183,183,True,Admin,328,SCH0328,True,09-07-2025,2025-09-07,DASH_MM_DD_AMBIGUOUS,True,False,I,Grade 1,H,True,False,False,100.0,True,True,True,ANOMALY_PROXY_SUNDAY
ATT0011718,2025-12-07,SCH0188,Grade 5,167,167,True,Clerk,SCH-0188,SCH0188,True,07.12.2025,2025-12-07,DOT_DD_MM_AMBIGUOUS,True,False,V,Grade 5,TRUE,True,False,False,100.0,True,True,True,ANOMALY_PROXY_SUNDAY
ATT0004412,2025-05-08,SCH0352,Grade 4,70,46,True,,SCH0352,SCH0352,False,05-08-2025,2025-05-08,DASH_MM_DD_AMBIGUOUS,True,False,IV,Grade 4,H,True,False,False,65.71428571428571,False,False,False,VALID
ATT0016357,2025-09-11,SCH0217,Grade 2,61,43,True,Clerk,S0217,SCH0217,True,11-Sep-25,2025-09-11,TEXT_MONTH,False,False,II,Grade 2,TRUE,True,False,False,70.49180327868852,False,False,False,VALID
ATT0010389,2025-10-23,SCH0454,Grade 5,187,131,True,HM,SCH0454,SCH0454,False,23-10-2025,2025-10-23,DASH_DD_MM_YYYY,False,False,5,Grade 5,Hai,True,False,False,70.05347593582889,False,False,False,VALID
ATT0004549,2025-10-01,SCH0517,Grade 3,70,61,,Admin,SCH-0517,SCH0517,True,10-01-2025,2025-10-01,DASH_MM_DD_AMBIGUOUS,True,False,3,Grade 3,,,True,False,87.14285714285714,False,False,False,VALID
ATT0003932,2025-09-11,SCH0451,Grade 3,296,296,True,Headmaster,sch0451,SCH0451,True,09-11-2025,2025-09-11,DASH_MM_DD_AMBIGUOUS,True,False,III,Grade 3,Available,True,False,False,100.0,False,False,False,VALID
ATT0010030,2025-10-27,SCH0598,Grade 4,218,151,True,HM,SCH0598,SCH0598,False,27-10-2025,2025-10-27,DASH_DD_MM_YYYY,False,False,IV,Grade 4,Available,True,False,False,69.26605504587155,False,False,False,VALID
ATT0003617,2025-08-22,SCH0304,Grade 5,74,47,True,Class Teacher,SCH-0304,SCH0304,True,08-22-2025,2025-08-22,DASH_MM_DD_YYYY,False,False,5,Grade 5,Y,True,False,False,63.51351351351351,False,False,False,VALID
ATT0010130,2026-03-03,SCH0572,Grade 1,273,205,True,,sch0572,SCH0572,True,03-03-2026,2026-03-03,DASH_MM_DD_AMBIGUOUS,True,False,1,Grade 1,Working,True,False,False,75.0915750915751,False,False,False,VALID
ATT0002302,2026-03-25,SCH0453,Grade 4,135,96,True,Headmaster,SCH0453,SCH0453,False,25-03-2026,2026-03-25,DASH_DD_MM_YYYY,False,False,IV,Grade 4,haan,True,False,False,71.11111111111111,False,False,False,VALID
ATT0008115,2025-10-31,SCH0203,Grade 1,140,125,True,Clerk,SCH-0203,SCH0203,True,31-10-2025,2025-10-31,DASH_DD_MM_YYYY,False,False,1,Grade 1,haan,True,False,False,89.28571428571429,False,False,False,VALID
ATT0011369,2025-06-10,SCH0215,Grade 5,284,183,True,Clerk,SCH0215,SCH0215,False,10-Jun-25,2025-06-10,TEXT_MONTH,False,False,5,Grade 5,TRUE,True,False,False,64.43661971830986,False,False,False,VALID
ATT0013204,2025-09-30,SCH0083,Grade 6,254,182,True,Headmaster,S0083,SCH0083,True,30-09-2025,2025-09-30,DASH_DD_MM_YYYY,False,False,6,Grade 6,Haan,True,False,False,71.65354330708661,False,False,False,VALID
ATT0014748,2026-02-27,SCH0418,Grade 8,284,270,True,Clerk,sch_0418,SCH0418,True,02-27-2026,2026-02-27,DASH_MM_DD_YYYY,False,False,8,Grade 8,Y,True,False,False,95.07042253521126,False,False,False,VALID
ATT0009013,2025-10-10,SCH0300,Grade 5,257,173,True,HM,SCH0300,SCH0300,False,10-10-2025,2025-10-10,DASH_MM_DD_AMBIGUOUS,True,False,5,Grade 5,TRUE,True,False,False,67.31517509727627,False,False,False,VALID
ATT0012196,2026-12-03,SCH0400,Grade 2,215,183,True,Class Teacher,sch0400,SCH0400,True,12-03-2026,2026-12-03,DASH_MM_DD_AMBIGUOUS,True,False,2,Grade 2,Y,True,False,False,85.11627906976744,False,False,False,VALID
ATT0014093,2025-05-29,SCH0253,Grade 3,267,213,True,,SCH-0253,SCH0253,True,29-May-25,2025-05-29,TEXT_MONTH,False,False,3,Grade 3,1,True,False,False,79.7752808988764,False,False,False,VALID
ATT0010139,2025-08-10,SCH0534,Grade 1,126,80,True,Headmaster,SCH-0534,SCH0534,True,08-10-2025,2025-08-10,DASH_MM_DD_AMBIGUOUS,True,False,1,Grade 1,TRUE,True,False,False,63.49206349206349,True,True,False,VALID
ATT0016398,2026-01-13,SCH0537,Grade 7,258,178,True,HM,SCH0537,SCH0537,False,13-01-2026,2026-01-13,DASH_DD_MM_YYYY,False,False,7,Grade 7,haan,True,False,False,68.9922480620155,False,False,False,VALID
ATT0010481,2025-07-05,SCH0363,Grade 4,86,70,True,Clerk,SCH-0363,SCH0363,True,07-05-2025,2025-07-05,DASH_MM_DD_AMBIGUOUS,True,False,IV,Grade 4,Haan,True,False,False,81.3953488372093,True,False,False,VALID
ATT0007137,2025-05-15,SCH0414,Grade 7,95,87,True,,S0414,SCH0414,True,15.05.2025,2025-05-15,DOT_DD_MM_YYYY,False,False,7,Grade 7,TRUE,True,False,False,91.57894736842105,False,False,False,VALID
,2026-02-24,SCH0012,Grade 6,112,84,True,Class Teacher,SCH0012,SCH0012,False,24-02-2026,2026-02-24,DASH_DD_MM_YYYY,False,False,6,Grade 6,TRUE,True,False,False,75.0,False,False,False,VALID
ATT0012018,2025-08-13,SCH0265,Grade 3,202,157,True,Headmaster,SCH0265,SCH0265,False,13-08-2025,2025-08-13,DASH_DD_MM_YYYY,False,False,III,Grade 3,haan,True,False,False,77.72277227722772,False,False,False,VALID
ATT0019081,2025-08-09,SCH0309,Grade 3,246,181,True,Admin,SCH0309,SCH0309,False,08-09-2025,2025-08-09,DASH_MM_DD_AMBIGUOUS,True,False,III,Grade 3,H,True,False,False,73.57723577235772,True,False,False,VALID
ATT0016530,2025-04-22,SCH0166,Grade 9,217,179,True,HM,SCH0166,SCH0166,False,22.04.2025,2025-04-22,DOT_DD_MM_YYYY,False,False,9,Grade 9,TRUE,True,False,False,82.48847926267281,False,False,False,VALID
